User,Tweets Ago,Date,Text,Compound,Positive,Negative,Neutral
CBSNews,81,Mon Oct 01 05:48:03 +0000 2018,"Nancy Pelosi calls Brett Kavanaugh ""hysterical,"" says he is unfit to serve on the Supreme Court… https://t.co/OMkuH0PdGB",0.5574,0.184,0.0,0.816
CBSNews,80,Mon Oct 01 06:03:03 +0000 2018,Rebecca Traister on the power of women's (and men's) anger https://t.co/zU5ehtIZ2E https://t.co/aYSS43BQ3Z,-0.5719,0.0,0.252,0.748
CBSNews,79,Mon Oct 01 06:18:02 +0000 2018,"Elizabeth Warren says she will take a ""hard look"" at running for president after midterms https://t.co/NRmuK2PSzO https://t.co/V44TwgE6AI",-0.1027,0.0,0.085,0.915
CBSNews,78,Mon Oct 01 06:33:03 +0000 2018,Inside the tiny green huts that shelter London's cab drivers https://t.co/Qdl0CdXRHs https://t.co/utilU3pWya,0.0,0.0,0.0,1.0
CBSNews,77,Mon Oct 01 06:40:08 +0000 2018,Mass burials being prepared as Indonesian quake/tsunami toll surges https://t.co/smBdEGDwj6 https://t.co/CXCUl8Zs7e,0.2263,0.16,0.0,0.84
CBSNews,76,Mon Oct 01 06:48:04 +0000 2018,"FBI reaches out to Deborah Ramirez, the second woman to accuse Brett Kavanaugh of sexual misconduct… https://t.co/CwTUriXZco",-0.1531,0.067,0.1,0.833
CBSNews,75,Mon Oct 01 07:00:25 +0000 2018,"Monday marks the first anniversary of the Las Vegas mass shooting. In the aftermath of the tragedy, one retired car… https://t.co/n5ZSk6slFP",-0.6597,0.0,0.18,0.82
CBSNews,74,Mon Oct 01 07:03:03 +0000 2018,"Graham, Kennedy on whether the FBI's investigation of Kavanaugh could change their minds https://t.co/3BzzprC1sR https://t.co/MSZnkuswZL",0.0,0.0,0.0,1.0
CBSNews,73,Mon Oct 01 07:10:06 +0000 2018,Iran's Revolutionary Guard launches missiles into Syria over attack on military parade https://t.co/ML03pwfden https://t.co/XPZB3qTKMz,-0.4767,0.0,0.193,0.807
CBSNews,72,Mon Oct 01 07:18:03 +0000 2018,"Shark attacks teen at beach in Encinitas, California https://t.co/db7qKxj9vU https://t.co/4EtZ01Dp0h",-0.4404,0.0,0.244,0.756
CBSNews,71,Mon Oct 01 07:33:03 +0000 2018,"Chaos, stampede at Central Park concert after false alarm of gunshots https://t.co/swYRpd7dsH https://t.co/Di9gzPXF2x",-0.836,0.0,0.471,0.529
